Participant_ID,Triad_Or_Individual,School,Team,School_Team,A_B_C,Computer_Sat_At,Block,Date,Face_Video_Offset_From_900_Seconds ,Audio_Quality,Screen_Video_Offset_From_900_Seconds ,Number_Of_Screen_Shots_Offset_From_29,Shimmer_Quality,Gaze_Calibration_Quality,Face_Offset_OK,Audio_Quality_ABC,Shimmer_Quality_ABC,Gaze_Calibration_Quality_ABC,Team_Data_Check_Complete_Y/N,Notes
CPS2-ASU-T35-PD,Triad,ASU,T35,ASU-T35,PD,B,ExpBlock1,9-11-18 @ 12:00,-1,A,NaN,0,B,A,1,1,1,1,Y,
CPS2-ASU-T35-PD,Triad,ASU,T35,ASU-T35,PD,B,ExpBlock2,9-11-18 @ 12:00,-1,A,-1,NaN,C,A,1,1,1,1,Y,
CPS2-ASU-T35-PD,Triad,ASU,T35,ASU-T35,PD,B,Transfer,9-11-18 @ 12:00,-1,A,-1,NaN,C,C,1,1,1,1,Y,
CPS2-ASU-T35-PD,Triad,ASU,T35,ASU-T35,PD,B,WU,9-11-18 @ 12:00,-1,A,-1,NaN,B,B,1,1,1,1,Y,
CPS2-ASU-T36-PB,Triad,ASU,T36,ASU-T36,PB,A,ExpBlock1,9-11-18 @ 15:00,-1,B,-1,NaN,A,C,1,1,1,1,,I can hear other participants in the background 
CPS2-ASU-T36-PB,Triad,ASU,T36,ASU-T36,PB,A,ExpBlock2,9-11-18 @ 15:00,-1,B,-1,NaN,A,C,1,1,1,1,,I can hear other participants in the background 
CPS2-ASU-T36-PB,Triad,ASU,T36,ASU-T36,PB,A,Transfer,9-11-18 @ 15:00,-1,B,NaN,0,B,C,1,1,1,1,,I can hear other participants in the background 
CPS2-ASU-T36-PB,Triad,ASU,T36,ASU-T36,PB,A,WU,9-11-18 @ 15:00,-1,B,NaN,0,A,B,1,1,1,1,,I can hear other participants in the background 
CPS2-ASU-T36-PC,Triad,ASU,T36,ASU-T36,PC,B,ExpBlock1,9-11-18 @ 15:00,-1,B,NaN,0,B,B,1,1,1,1,,I can hear other participants in the background 
CPS2-ASU-T36-PC,Triad,ASU,T36,ASU-T36,PC,B,ExpBlock2,9-11-18 @ 15:00,-1,B,-1,NaN,A,B,1,1,1,1,,"Loud breather, I can hear other participants in the background "
CPS2-ASU-T36-PC,Triad,ASU,T36,ASU-T36,PC,B,Transfer,9-11-18 @ 15:00,-1,B,-1,NaN,A,F,1,1,1,0,,Started eating during the session
CPS2-ASU-T36-PC,Triad,ASU,T36,ASU-T36,PC,B,WU,9-11-18 @ 15:00,-1,B,-1,NaN,A,F,1,1,1,0,,Loud breather
CPS2-ASU-T36-PD,Triad,ASU,T36,ASU-T36,PD,C,ExpBlock1,9-11-18 @ 15:00,-1,C,-1,NaN,B,C,1,1,1,1,,Weird Audio issue- fixed on 9-13-18 with Angela
CPS2-ASU-T36-PD,Triad,ASU,T36,ASU-T36,PD,C,ExpBlock2,9-11-18 @ 15:00,-1,C,NaN,0,B,F,1,1,1,0,,Weird Audio issue- fixed on 9-13-18 with Angela
CPS2-ASU-T36-PD,Triad,ASU,T36,ASU-T36,PD,C,Transfer,9-11-18 @ 15:00,-1,C,-1,NaN,C,F,1,1,1,0,,Weird Audio issue- fixed on 9-13-18 with Angela
CPS2-ASU-T36-PD,Triad,ASU,T36,ASU-T36,PD,C,WU,9-11-18 @ 15:00,-1,C,-1,NaN,C,F,1,1,1,0,,Weird Audio issue- fixed on 9-13-18 with Angela
CPS2-ASU-T37-PB,Triad,ASU,T37,ASU-T37,PB,B,ExpBlock1,9-13-18 @ 12:00,-1,A,NaN,0,B,B,1,1,1,1,Y,
CPS2-ASU-T37-PB,Triad,ASU,T37,ASU-T37,PB,B,ExpBlock2,9-13-18 @ 12:00,-1,A,-1,NaN,A,B,1,1,1,1,Y,
CPS2-ASU-T37-PB,Triad,ASU,T37,ASU-T37,PB,B,Transfer,9-13-18 @ 12:00,-1,A,NaN,0,B,B,1,1,1,1,Y,
CPS2-ASU-T37-PB,Triad,ASU,T37,ASU-T37,PB,B,WU,9-13-18 @ 12:00,-1,A,-1,NaN,A,C,1,1,1,1,Y,"You can hear the other participants clearly in some sections, but PB's sound quality is very clear. No data points on Gaze Calibration?"
CPS2-ASU-T37-PC,Triad,ASU,T37,ASU-T37,PC,C,ExpBlock1,9-13-18 @ 12:00,-1,A,-1,NaN,A,B,1,1,1,1,Y,
CPS2-ASU-T37-PC,Triad,ASU,T37,ASU-T37,PC,C,ExpBlock2,9-13-18 @ 12:00,-1,A,NaN,0,A,B,1,1,1,1,Y,
CPS2-ASU-T37-PC,Triad,ASU,T37,ASU-T37,PC,C,Transfer,9-13-18 @ 12:00,-1,A,-1,NaN,B,C,1,1,1,1,Y,
CPS2-ASU-T37-PC,Triad,ASU,T37,ASU-T37,PC,C,WU,9-13-18 @ 12:00,-1,A,-1,NaN,A,B,1,1,1,1,Y,
CPS2-ASU-T37-PD,Triad,ASU,T37,ASU-T37,PD,A,ExpBlock1,9-13-18 @ 12:00,-1,A,-1,NaN,A,A,1,1,1,1,Y,
CPS2-ASU-T37-PD,Triad,ASU,T37,ASU-T37,PD,A,ExpBlock2,9-13-18 @ 12:00,-1,A,-1,NaN,A,A,1,1,1,1,Y,
CPS2-ASU-T37-PD,Triad,ASU,T37,ASU-T37,PD,A,Transfer,9-13-18 @ 12:00,-1,A,-1,NaN,C,A,1,1,1,1,Y,
CPS2-ASU-T37-PD,Triad,ASU,T37,ASU-T37,PD,A,WU,9-13-18 @ 12:00,-1,B,NaN,0,A,A,1,1,1,1,Y,
